n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,1,0.0,0.01,True,0.45821014046669006,0.7904733419418335,0.4736481010913849,0.7785862684249878
16,1,0.0,0.01,False,0.4598142206668854,0.7993025779724121,0.4706956744194031,0.7863825559616089
16,1,0.0,0.1,True,1.1211820840835571,0.5,1.1105530261993408,0.5
16,1,0.0,0.1,False,5.093799114227295,0.5,5.035387992858887,0.5
16,1,0.0,0.001,True,0.6353294849395752,0.5178067684173584,0.6357889175415039,0.5202702879905701
16,1,0.0,0.001,False,0.646541953086853,0.5083840489387512,0.648242712020874,0.5088357329368591
16,1,0.0,0.0001,True,0.6801683306694031,0.5031161904335022,0.6815374493598938,0.5015592575073242
16,1,0.0,0.0001,False,0.6794942617416382,0.5006677508354187,0.6806393265724182,0.5
16,1,0.3,0.01,True,0.5193982124328613,0.7538952231407166,0.5213030576705933,0.7463617324829102
16,1,0.3,0.01,False,0.47291100025177,0.7857248783111572,0.47646161913871765,0.7837837934494019
16,1,0.3,0.1,True,6.499959468841553,0.5,6.3862433433532715,0.5
16,1,0.3,0.1,False,2.4590556621551514,0.5013355016708374,2.390017032623291,0.5
16,1,0.3,0.001,True,0.6699342727661133,0.5,0.6703078150749207,0.5
16,1,0.3,0.001,False,0.65204256772995,0.5161744952201843,0.6544566750526428,0.5145530104637146
16,1,0.3,0.0001,True,0.6840495467185974,0.504525899887085,0.6846057772636414,0.5046777725219727
16,1,0.3,0.0001,False,0.6840602159500122,0.5018548965454102,0.6852458715438843,0.5031185150146484
16,1,0.5,0.01,True,0.48576223850250244,0.7942572832107544,0.4872702658176422,0.7879418134689331
16,1,0.5,0.01,False,0.48888063430786133,0.7932185530662537,0.5110076069831848,0.7759875059127808
16,1,0.5,0.1,True,15.502327919006348,0.5,15.277976989746094,0.5
16,1,0.5,0.1,False,2.8273441791534424,0.5060098171234131,2.746877670288086,0.5062370300292969
16,1,0.5,0.001,True,0.6726230382919312,0.5035613775253296,0.6760671138763428,0.502598762512207
16,1,0.5,0.001,False,0.6638391613960266,0.505416214466095,0.6630563735961914,0.5072765350341797
16,1,0.5,0.0001,True,0.67758709192276,0.5006677508354187,0.6792771220207214,0.5109147429466248
